access,defibrillator:location,defibrillator:location:pl,description,emergency,indoor,latitude,location,longitude,note,note:pl,opening_hours,osm_id,phone,wikimedia_commons
,,,,defibrillator,,49.5878956,,19.5168185,,,,477958354,+48 33 877 51 05,
yes,Na ścianie przy drzwiach do budynku,,,defibrillator,no,50.4850338,,19.4352175,,,24/7,1359759215,,
,,,,defibrillator,yes,52.228639,,21.0027542,,,,1775469258,,
,,,,defibrillator,yes,52.1707513,,20.9725857,,,,1779456496,,
,,,,defibrillator,,50.304021,,18.4971014,,,,1806319694,,
,,,,defibrillator,,50.0646815,,19.9398932,,,,2000506096,,
,,,,defibrillator,yes,54.3823719,,18.4661901,,,,2360723894,,
,,,,defibrillator,,49.8317141,,18.9849983,,,,2460314043,,
,,,,defibrillator,,50.0620236,,19.9610598,,,,2468218271,,
,,,,defibrillator,,50.0649226,,19.9296658,,,,2469523539,,
,,,,defibrillator,,50.0519562,,19.9485958,,,,2469524600,,
,,,,defibrillator,,52.2181727,,21.0080375,"on left side of the steps, near reception B","po lewej stronie koło schodów, przy recepcji B",,2470990306,,
,,,,defibrillator,,50.0940608,,19.976778,,,,2478722974,,
,,,,defibrillator,,50.0638676,,19.9619939,,,,2507857330,,
,,,,defibrillator,,50.0708767,,20.034817,,,,2507858371,,
,,,,defibrillator,yes,50.0512581,,19.991,,,,2507858847,,
,,,,defibrillator,,50.0864245,,20.059433,,,,2507859270,,
,,,,defibrillator,,50.019921,,19.9372804,,,,2507866150,,
,,,,defibrillator,,50.0844182,,19.9313785,,,,2507867311,,
,,,,defibrillator,,50.0386911,,19.9664045,,,,2514733002,,
,,,,defibrillator,yes,50.0588419,,19.9377766,,,,2514742258,,
,,,,defibrillator,,50.0719911,,19.8007134,,,,2514750661,,
,,,,defibrillator,,50.0539621,,19.9197335,,,,2515045295,,
,,,,defibrillator,,52.3103254,,21.018624,"2nd floor, in front of the elevator","Na drugim piętrze, naprzeciwko wyjścia z windy",,2547964164,,
,,,,defibrillator,,50.0685041,,19.9009145,naprzeciwko wejścia,,,2600805941,,
yes,,,,defibrillator,yes,54.5212696,,18.5302743,,,24/7,2620114936,,
,,,,defibrillator,yes,50.0678992,,19.9496502,,,,2837093936,,
,,,,defibrillator,yes,50.1790114,,18.886705,,,,2875729271,,
,ściana budynku,,,defibrillator,no,54.4791136,,18.5522762,,,24/7,2935265413,,
